Datetime,MC_PM25
2024-10-11 05:03:19,7
2024-10-11 05:03:27,7
2024-10-11 05:03:33,7
2024-10-11 05:03:41,7
2024-10-11 05:03:53,7
2024-10-11 05:04:02,7
2024-10-11 05:04:08,7
2024-10-11 05:04:16,7
2024-10-11 05:04:23,7
2024-10-11 05:04:31,6
2024-10-11 05:04:37,6
2024-10-11 05:04:46,6
2024-10-11 05:04:52,7
2024-10-11 05:05:11,7
2024-10-11 05:05:15,8
2024-10-11 05:05:25,8
2024-10-11 05:05:31,7
2024-10-11 05:05:36,7
2024-10-11 05:05:43,7
2024-10-11 05:05:51,7
2024-10-11 05:05:57,7
2024-10-11 05:06:06,7
2024-10-11 05:06:19,7
2024-10-11 05:06:33,7
2024-10-11 05:06:47,7
2024-10-11 05:07:01,7
2024-10-11 05:07:22,7
2024-10-11 05:07:33,7
2024-10-11 05:07:48,7
2024-10-11 05:08:10,6
2024-10-11 05:08:23,6
2024-10-11 05:08:36,6
2024-10-11 05:08:50,6
2024-10-11 05:09:03,7
2024-10-11 05:09:34,7
2024-10-11 05:09:47,7
2024-10-11 05:10:07,7
2024-10-11 05:10:28,7
2024-10-11 05:10:40,7
2024-10-11 05:10:54,7
2024-10-11 05:11:08,6
2024-10-11 05:11:29,6
2024-10-11 05:11:47,6
2024-10-11 05:11:56,7
2024-10-11 05:12:08,7
2024-10-11 05:12:22,7
2024-10-11 05:12:35,7
2024-10-11 05:12:56,7
2024-10-11 05:13:12,6
2024-10-11 05:13:25,7
2024-10-11 05:14:04,7
2024-10-11 05:14:11,7
2024-10-11 05:14:29,7
2024-10-11 05:14:51,7
2024-10-11 05:15:11,7
2024-10-11 05:15:32,6
2024-10-11 05:15:46,6
2024-10-11 05:16:08,6
2024-10-11 05:16:20,6
2024-10-11 05:16:44,7
2024-10-11 05:17:10,7
2024-10-11 05:17:21,7
2024-10-11 05:17:34,6
2024-10-11 05:18:01,6
2024-10-11 05:18:14,7
2024-10-11 05:18:37,7
2024-10-11 05:19:01,7
2024-10-11 05:19:13,7
2024-10-11 05:19:26,8
2024-10-11 05:19:48,8
2024-10-11 05:19:56,7
2024-10-11 05:20:04,7
2024-10-11 05:20:18,7
2024-10-11 05:20:44,7
2024-10-11 05:21:03,7
2024-10-11 05:21:19,6
2024-10-11 05:21:29,6
2024-10-11 05:21:40,6
2024-10-11 05:21:47,6
2024-10-11 05:21:55,6
2024-10-11 05:22:10,7
2024-10-11 05:22:31,7
2024-10-11 05:22:43,7
2024-10-11 05:23:02,7
2024-10-11 05:23:22,7
2024-10-11 05:23:46,7
2024-10-11 05:23:53,7
2024-10-11 05:24:03,7
2024-10-11 05:24:12,7
2024-10-11 05:24:29,7
2024-10-11 05:23:32,7
2024-10-11 05:24:37,7
2024-10-11 05:25:13,6
2024-10-11 05:25:19,6
2024-10-11 05:25:28,6
2024-10-11 05:25:49,6
2024-10-11 05:26:05,6
2024-10-11 05:26:19,7
2024-10-11 05:26:43,7
2024-10-11 05:27:07,7
2024-10-11 05:27:31,7
2024-10-11 05:27:38,7
2024-10-11 05:27:47,7
2024-10-11 05:28:02,7
2024-10-11 05:28:16,7
2024-10-11 05:28:31,6
2024-10-11 05:28:45,6
2024-10-11 05:29:00,6
2024-10-11 05:29:26,6
2024-10-11 05:29:40,7
2024-10-11 05:29:52,6
2024-10-11 05:29:59,6
2024-10-11 05:30:37,6
2024-10-11 05:30:51,6
2024-10-11 05:31:04,7
2024-10-11 05:31:26,7
2024-10-11 05:31:39,6
2024-10-11 05:31:51,6
2024-10-11 05:31:58,6
2024-10-11 05:32:07,6
2024-10-11 05:32:19,6
2024-10-11 05:32:37,6
2024-10-11 05:32:59,6
2024-10-11 05:33:19,6
2024-10-11 05:34:06,6
2024-10-11 05:34:18,6
2024-10-11 05:34:25,6
2024-10-11 05:34:32,6
2024-10-11 05:34:37,5
2024-10-11 05:34:56,5
2024-10-11 05:35:03,6
2024-10-11 05:35:13,6
2024-10-11 05:35:31,7
2024-10-11 05:35:38,7
2024-10-11 05:35:42,6
2024-10-11 05:35:50,6
2024-10-11 05:35:57,6
2024-10-11 05:36:18,6
2024-10-11 05:36:33,6
2024-10-11 05:36:45,6
2024-10-11 05:36:53,6
2024-10-11 05:37:03,6
2024-10-11 05:37:11,7
2024-10-11 05:37:29,7
2024-10-11 05:37:37,6
2024-10-11 05:37:45,6
2024-10-11 05:38:01,6
2024-10-11 05:38:21,7
2024-10-11 05:38:29,7
2024-10-11 05:38:36,7
2024-10-11 05:38:46,7
2024-10-11 05:38:55,6
2024-10-11 05:39:04,6
2024-10-11 05:39:23,7
2024-10-11 05:39:37,7
2024-10-11 05:39:49,7
2024-10-11 05:40:04,7
2024-10-11 05:40:18,6
2024-10-11 05:40:54,6
2024-10-11 05:41:08,6
2024-10-11 05:41:31,6
2024-10-11 05:41:46,7
2024-10-11 05:41:55,6
2024-10-11 05:42:12,6
2024-10-11 05:42:26,6
2024-10-11 05:42:34,6
2024-10-11 05:42:49,6
2024-10-11 05:43:03,7
2024-10-11 05:43:12,6
2024-10-11 05:43:26,6
2024-10-11 05:43:33,6
2024-10-11 05:43:42,6
2024-10-11 05:43:56,7
2024-10-11 05:44:17,7
2024-10-11 05:44:28,7
2024-10-11 05:44:37,7
2024-10-11 05:44:55,6
2024-10-11 05:45:01,6
2024-10-11 05:45:10,6
2024-10-11 05:45:20,6
2024-10-11 05:45:26,6
2024-10-11 05:45:46,6
2024-10-11 05:45:53,6
2024-10-11 05:46:01,6
2024-10-11 05:46:11,6
2024-10-11 05:46:17,6
2024-10-11 05:46:26,6
2024-10-11 05:46:33,6
2024-10-11 05:46:42,6
2024-10-11 05:46:49,6
2024-10-11 05:46:56,6
2024-10-11 05:47:03,6
2024-10-11 05:47:13,6
2024-10-11 05:47:29,6
2024-10-11 05:47:37,7
2024-10-11 05:47:53,7
2024-10-11 05:48:02,7
2024-10-11 05:48:09,6
2024-10-11 05:48:16,6
2024-10-11 05:48:23,6
2024-10-11 05:48:29,6
2024-10-11 05:48:36,6
2024-10-11 05:48:46,7
2024-10-11 05:48:52,7
2024-10-11 05:49:01,7
2024-10-11 05:49:08,7
2024-10-11 05:49:24,7
2024-10-11 05:49:40,7
2024-10-11 05:49:50,6
2024-10-11 05:49:56,6
2024-10-11 05:50:05,6
2024-10-11 05:50:25,6
2024-10-11 05:50:35,6
2024-10-11 05:50:48,6
2024-10-11 05:50:55,6
2024-10-11 05:51:06,6
2024-10-11 05:51:13,6
2024-10-11 05:51:20,6
2024-10-11 05:51:27,6
2024-10-11 05:51:37,6
2024-10-11 05:51:44,6
2024-10-11 05:51:54,6
2024-10-11 05:51:59,6
2024-10-11 05:52:11,6
2024-10-11 05:52:18,6
2024-10-11 05:52:26,6
2024-10-11 05:52:33,6
2024-10-11 05:52:51,7
2024-10-11 05:52:59,7
2024-10-11 05:53:08,6
2024-10-11 05:53:15,6
2024-10-11 05:53:24,6
2024-10-11 05:53:31,6
2024-10-11 05:53:41,6
2024-10-11 05:53:57,6
2024-10-11 05:54:02,6
2024-10-11 05:54:22,6
2024-10-11 05:54:39,6
2024-10-11 05:54:46,6
2024-10-11 05:54:56,6
2024-10-11 05:55:14,6
2024-10-11 05:55:24,6
2024-10-11 05:55:31,6
2024-10-11 05:55:38,6
2024-10-11 05:55:45,6
2024-10-11 05:55:52,6
2024-10-11 05:55:57,6
2024-10-11 05:56:15,6
2024-10-11 05:56:23,7
2024-10-11 05:56:41,6
2024-10-11 05:56:48,6
2024-10-11 05:56:53,6
2024-10-11 05:57:18,6
2024-10-11 05:57:28,6
2024-10-11 05:57:36,6
2024-10-11 05:57:45,6
2024-10-11 05:57:52,6
2024-10-11 05:57:59,6
2024-10-11 05:58:06,6
2024-10-11 05:58:28,6
2024-10-11 05:58:34,6
2024-10-11 05:58:54,6
2024-10-11 05:59:00,6
2024-10-11 05:59:07,6
2024-10-11 05:59:14,6
2024-10-11 05:59:24,6
2024-10-11 05:59:30,6
2024-10-11 05:59:40,6
2024-10-11 05:59:47,6
2024-10-11 05:59:56,6
2024-10-11 06:00:03,6
2024-10-11 06:00:37,6
2024-10-11 06:00:49,6
2024-10-11 06:01:07,6
2024-10-11 06:01:19,6
2024-10-11 06:01:25,6
2024-10-11 06:01:32,6
2024-10-11 06:01:39,6
2024-10-11 06:01:46,6
2024-10-11 06:01:52,6
2024-10-11 06:02:01,6
2024-10-11 06:02:07,6
2024-10-11 06:02:26,6
2024-10-11 06:02:33,6
2024-10-11 06:02:40,6
2024-10-11 06:02:46,6
2024-10-11 06:02:55,6
2024-10-11 06:02:59,6
2024-10-11 06:03:14,6
2024-10-11 06:03:33,6
2024-10-11 06:03:39,6
2024-10-11 06:03:46,6
2024-10-11 06:03:55,6
2024-10-11 06:04:08,6
2024-10-11 06:04:15,6
2024-10-11 06:04:31,6
2024-10-11 06:04:36,6
2024-10-11 06:04:44,6
2024-10-11 06:04:50,6
2024-10-11 06:04:57,6
2024-10-11 06:05:06,6
2024-10-11 06:05:12,6
2024-10-11 06:05:28,6
2024-10-11 06:05:41,6
2024-10-11 06:05:58,6
2024-10-11 06:06:14,6
2024-10-11 06:06:21,6
2024-10-11 06:06:31,6
2024-10-11 06:06:37,6
2024-10-11 06:06:04,6
2024-10-11 06:06:55,6
2024-10-11 06:07:03,6
2024-10-11 06:07:10,6
2024-10-11 06:07:24,6
2024-10-11 06:07:30,6
2024-10-11 06:07:37,6
2024-10-11 06:07:52,6
2024-10-11 06:07:59,6
2024-10-11 06:08:06,6
2024-10-11 06:08:12,6
2024-10-11 06:08:31,6
2024-10-11 06:08:37,6
2024-10-11 06:08:52,6
2024-10-11 06:08:59,7
2024-10-11 06:09:09,7
2024-10-11 06:09:15,6
2024-10-11 06:09:24,6
2024-10-11 06:09:30,6
2024-10-11 06:09:46,6
2024-10-11 06:09:53,6
2024-10-11 06:10:02,6
2024-10-11 06:10:08,5
2024-10-11 06:10:27,6
2024-10-11 06:10:52,6
2024-10-11 06:10:59,5
2024-10-11 06:11:08,5
2024-10-11 06:11:15,5
2024-10-11 06:11:23,6
2024-10-11 06:11:30,6
2024-10-11 06:11:37,6
2024-10-11 06:11:43,6
2024-10-11 06:11:52,6
2024-10-11 06:11:58,6
2024-10-11 06:12:05,6
2024-10-11 06:12:12,6
2024-10-11 06:12:18,6
2024-10-11 06:12:24,6
2024-10-11 06:12:32,6
2024-10-11 06:12:38,6
2024-10-11 06:12:54,6
2024-10-11 06:13:00,6
2024-10-11 06:13:09,6
2024-10-11 06:13:16,6
2024-10-11 06:13:25,6
2024-10-11 06:13:31,6
2024-10-11 06:13:38,6
2024-10-11 06:13:44,6
2024-10-11 06:13:54,6
2024-10-11 06:14:08,6
2024-10-11 06:14:28,5
2024-10-11 06:14:35,5
2024-10-11 06:14:43,5
2024-10-11 06:14:49,5
2024-10-11 06:15:17,5
2024-10-11 06:15:23,5
2024-10-11 06:15:31,5
2024-10-11 06:15:38,5
2024-10-11 06:15:47,5
2024-10-11 06:15:51,5
2024-10-11 06:15:59,6
2024-10-11 06:16:05,6
2024-10-11 06:16:14,6
2024-10-11 06:16:21,6
2024-10-11 06:16:29,6
2024-10-11 06:16:34,6
2024-10-11 06:16:54,6
2024-10-11 06:16:58,6
2024-10-11 06:17:09,6
2024-10-11 06:17:23,6
2024-10-11 06:17:41,6
2024-10-11 06:17:48,6
2024-10-11 06:17:57,6
2024-10-11 06:18:04,6
2024-10-11 06:18:13,6
2024-10-11 06:18:28,6
2024-10-11 06:18:47,6
2024-10-11 06:19:01,6
2024-10-11 06:19:10,6
2024-10-11 06:19:17,6
2024-10-11 06:19:25,6
2024-10-11 06:19:32,6
2024-10-11 06:19:41,6
2024-10-11 06:20:03,6
2024-10-11 06:20:09,6
2024-10-11 06:20:24,6
2024-10-11 06:20:31,6
2024-10-11 06:20:55,6
2024-10-11 06:21:01,6
2024-10-11 06:21:10,6
2024-10-11 06:21:16,6
2024-10-11 06:21:25,6
2024-10-11 06:21:32,6
2024-10-11 06:21:40,6
2024-10-11 06:21:47,6
2024-10-11 06:21:55,6
2024-10-11 06:22:02,6
2024-10-11 06:22:11,6
2024-10-11 06:22:17,5
2024-10-11 06:22:26,5
2024-10-11 06:22:32,5
2024-10-11 06:22:40,5
2024-10-11 06:22:47,5
2024-10-11 06:22:56,5
2024-10-11 06:23:02,5
2024-10-11 06:23:10,6
2024-10-11 06:23:25,6
2024-10-11 06:23:34,6
2024-10-11 06:23:41,6
2024-10-11 06:23:50,6
2024-10-11 06:24:03,6
2024-10-11 06:24:31,6
2024-10-11 06:24:37,6
2024-10-11 06:24:46,6
2024-10-11 06:24:53,6
2024-10-11 06:25:08,6
2024-10-11 06:25:15,6
2024-10-11 06:25:31,6
2024-10-11 06:25:38,6
2024-10-11 06:25:46,6
2024-10-11 06:25:53,6
2024-10-11 06:26:02,6
2024-10-11 06:26:09,6
2024-10-11 06:26:17,6
2024-10-11 06:26:34,6
2024-10-11 06:26:41,6
2024-10-11 06:26:50,6
2024-10-11 06:26:59,6
2024-10-11 06:27:06,6
2024-10-11 06:27:22,6
2024-10-11 06:27:29,5
2024-10-11 06:27:37,5
2024-10-11 06:27:44,5
2024-10-11 06:27:53,6
2024-10-11 06:28:00,6
2024-10-11 06:28:07,6
2024-10-11 06:28:27,6
2024-10-11 06:28:43,6
2024-10-11 06:28:49,6
2024-10-11 06:28:57,6
2024-10-11 06:29:12,6
2024-10-11 06:29:37,6
2024-10-11 06:29:53,6
2024-10-11 06:29:58,6
2024-10-11 06:30:24,6
2024-10-11 06:30:36,6
2024-10-11 06:30:44,6
2024-10-11 06:30:50,6
2024-10-11 06:31:07,6
2024-10-11 06:31:12,6
2024-10-11 06:31:31,6
2024-10-11 06:31:37,6
2024-10-11 06:31:46,6
2024-10-11 06:31:52,6
2024-10-11 06:32:10,6
2024-10-11 06:32:26,5
2024-10-11 06:32:34,6
2024-10-11 06:32:40,6
2024-10-11 06:32:49,6
2024-10-11 06:32:56,6
2024-10-11 06:33:03,6
2024-10-11 06:33:10,6
2024-10-11 06:33:18,6
2024-10-11 06:33:33,6
2024-10-11 06:33:41,6
2024-10-11 06:33:55,6
2024-10-11 06:34:03,6
2024-10-11 06:34:10,6
2024-10-11 06:34:36,6
2024-10-11 06:34:52,6
2024-10-11 06:35:09,6
2024-10-11 06:35:17,5
2024-10-11 06:35:20,5
2024-10-11 06:35:33,5
2024-10-11 06:35:33,6
2024-10-11 06:35:31,4
2024-10-11 06:35:39,5
2024-10-11 06:35:43,5
2024-10-11 06:35:44,6
2024-10-11 06:35:50,5
